ケース番号=No.042;実施開始時間=2021-10-28 21:45:36.715;実施終了時間=2021-10-28 21:45:36.796;実施結果=OK.
======以下はアクション毎の確認ログ。======
【実行結果=OK】【操作(DB準備)】【テーブル：C_PROCESS_PARAMETER,DB状態：2】:開始時間=2021-10-28 21:45:36.719;終了時間=2021-10-28 21:45:36.778
【実行結果=OK】【操作(api)】【/internal/v1/subsidiary/get】:開始時間=2021-10-28 21:45:36.778;終了時間=2021-10-28 21:45:36.779
【実行結果=OK】【操作(api)】【/internal/v1/reason-type/get-list】:開始時間=2021-10-28 21:45:36.779;終了時間=2021-10-28 21:45:36.779
【実行結果=OK】【操作(api)】【/internal/v1/product/search】:開始時間=2021-10-28 21:45:36.779;終了時間=2021-10-28 21:45:36.779
【実行結果=OK】【操作(api)】【/internal/v1/product-control-department/get-list】:開始時間=2021-10-28 21:45:36.779;終了時間=2021-10-28 21:45:36.780
【実行結果=OK】【操作(api)】【/internal/v1/brand/get-list】:開始時間=2021-10-28 21:45:36.780;終了時間=2021-10-28 21:45:36.780
【実行結果=OK】【操作(api)】【/internal/v1/ginner-info/get-list】:開始時間=2021-10-28 21:45:36.780;終了時間=2021-10-28 21:45:36.780
【実行結果=OK】【操作(api)】【/internal/v1/type-code/get-list】:開始時間=2021-10-28 21:45:36.780;終了時間=2021-10-28 21:45:36.781
【実行結果=OK】【操作(api)】【/internal/v1/product-classification/get-list】:開始時間=2021-10-28 21:45:36.781;終了時間=2021-10-28 21:45:36.781
【実行結果=OK】【操作(api)】【登录】:開始時間=2021-10-28 21:45:36.781;終了時間=2021-10-28 21:45:36.796
