ケース番号=No.015;実施開始時間=2021-09-30 16:14:09.299;実施終了時間=2021-09-30 16:14:30.681;実施結果=OK.
======以下はアクション毎の確認ログ。======
【実行結果=OK】【操作(DB準備)】【テーブル：c_screen_field_display,DB状態：1】:開始時間=2021-09-30 16:14:09.303;終了時間=2021-09-30 16:14:09.426
【実行結果=OK】【操作(DB準備)】【テーブル：idempotent_requests,DB状態：1】:開始時間=2021-09-30 16:14:09.426;終了時間=2021-09-30 16:14:09.435
【実行結果=OK】【操作(api)】【/v1/gw-stop-shipment/search】:開始時間=2021-09-30 16:14:09.435;終了時間=2021-09-30 16:14:09.436
【実行結果=OK】【操作(api)】【/internal/v1/product-classification/get-list】:開始時間=2021-09-30 16:14:09.436;終了時間=2021-09-30 16:14:09.436
【実行結果=OK】【操作(api)】【/internal/v1/plant/get-list】:開始時間=2021-09-30 16:14:09.436;終了時間=2021-09-30 16:14:09.436
【実行結果=OK】【操作(api)】【/internal/v1/supplier/get-list】:開始時間=2021-09-30 16:14:09.436;終了時間=2021-09-30 16:14:09.436
【実行結果=OK】【操作(api)】【/internal/v1/brand/get-list】:開始時間=2021-09-30 16:14:09.437;終了時間=2021-09-30 16:14:09.437
【実行結果=OK】【操作(api)】【/internal/v1/reason-type/get-list】:開始時間=2021-09-30 16:14:09.437;終了時間=2021-09-30 16:14:09.437
【実行結果=OK】【操作(api)】【/internal/v1/slip-type/get-list】:開始時間=2021-09-30 16:14:09.437;終了時間=2021-09-30 16:14:09.437
【実行結果=OK】【操作(api)】【登录】:開始時間=2021-09-30 16:14:09.438;終了時間=2021-09-30 16:14:30.677
