ケース番号=No.067;実施開始時間=2021-10-28 21:45:50.391;実施終了時間=2021-10-28 21:45:50.709;実施結果=OK.
======以下はアクション毎の確認ログ。======
【実行結果=OK】【操作(DB準備)】【テーブル：C_PROCESS_PARAMETER,DB状態：3】:開始時間=2021-10-28 21:45:50.394;終了時間=2021-10-28 21:45:50.477
【実行結果=OK】【操作(api)】【/internal/v1/subsidiary/get】:開始時間=2021-10-28 21:45:50.477;終了時間=2021-10-28 21:45:50.478
【実行結果=OK】【操作(api)】【/internal/v1/reason-type/get-list】:開始時間=2021-10-28 21:45:50.478;終了時間=2021-10-28 21:45:50.478
【実行結果=OK】【操作(api)】【/internal/v1/product/search】:開始時間=2021-10-28 21:45:50.478;終了時間=2021-10-28 21:45:50.479
【実行結果=OK】【操作(api)】【/internal/v1/product-control-department/get-list】:開始時間=2021-10-28 21:45:50.479;終了時間=2021-10-28 21:45:50.479
【実行結果=OK】【操作(api)】【/internal/v1/brand/get-list】:開始時間=2021-10-28 21:45:50.479;終了時間=2021-10-28 21:45:50.479
【実行結果=OK】【操作(api)】【/internal/v1/ginner-info/get-list】:開始時間=2021-10-28 21:45:50.479;終了時間=2021-10-28 21:45:50.480
【実行結果=OK】【操作(api)】【/internal/v1/type-code/get-list】:開始時間=2021-10-28 21:45:50.480;終了時間=2021-10-28 21:45:50.480
【実行結果=OK】【操作(api)】【/internal/v1/product-classification/get-list】:開始時間=2021-10-28 21:45:50.480;終了時間=2021-10-28 21:45:50.480
【実行結果=OK】【操作(api)】【登录】:開始時間=2021-10-28 21:45:50.480;終了時間=2021-10-28 21:45:50.705
