ケース番号=No.054;実施開始時間=2021-10-28 21:45:43.166;実施終了時間=2021-10-28 21:45:43.644;実施結果=OK.
======以下はアクション毎の確認ログ。======
【実行結果=OK】【操作(DB準備)】【テーブル：C_PROCESS_PARAMETER,DB状態：2】:開始時間=2021-10-28 21:45:43.169;終了時間=2021-10-28 21:45:43.269
【実行結果=OK】【操作(api)】【/internal/v1/subsidiary/get】:開始時間=2021-10-28 21:45:43.269;終了時間=2021-10-28 21:45:43.270
【実行結果=OK】【操作(api)】【/internal/v1/reason-type/get-list】:開始時間=2021-10-28 21:45:43.270;終了時間=2021-10-28 21:45:43.270
【実行結果=OK】【操作(api)】【/internal/v1/product/search】:開始時間=2021-10-28 21:45:43.270;終了時間=2021-10-28 21:45:43.270
【実行結果=OK】【操作(api)】【/internal/v1/product-control-department/get-list】:開始時間=2021-10-28 21:45:43.270;終了時間=2021-10-28 21:45:43.271
【実行結果=OK】【操作(api)】【/internal/v1/brand/get-list】:開始時間=2021-10-28 21:45:43.271;終了時間=2021-10-28 21:45:43.271
【実行結果=OK】【操作(api)】【/internal/v1/ginner-info/get-list】:開始時間=2021-10-28 21:45:43.271;終了時間=2021-10-28 21:45:43.272
【実行結果=OK】【操作(api)】【/internal/v1/type-code/get-list】:開始時間=2021-10-28 21:45:43.272;終了時間=2021-10-28 21:45:43.272
【実行結果=OK】【操作(api)】【/internal/v1/product-classification/get-list】:開始時間=2021-10-28 21:45:43.272;終了時間=2021-10-28 21:45:43.272
【実行結果=OK】【操作(api)】【登录】:開始時間=2021-10-28 21:45:43.272;終了時間=2021-10-28 21:45:43.639
