ケース番号=No.081;実施開始時間=2021-10-28 21:46:00.182;実施終了時間=2021-10-28 21:46:00.494;実施結果=OK.
======以下はアクション毎の確認ログ。======
【実行結果=OK】【操作(DB準備)】【テーブル：C_PROCESS_PARAMETER,DB状態：2】:開始時間=2021-10-28 21:46:00.186;終了時間=2021-10-28 21:46:00.252
【実行結果=OK】【操作(api)】【/internal/v1/subsidiary/get】:開始時間=2021-10-28 21:46:00.252;終了時間=2021-10-28 21:46:00.253
【実行結果=OK】【操作(api)】【/internal/v1/reason-type/get-list】:開始時間=2021-10-28 21:46:00.253;終了時間=2021-10-28 21:46:00.253
【実行結果=OK】【操作(api)】【/internal/v1/product/search】:開始時間=2021-10-28 21:46:00.253;終了時間=2021-10-28 21:46:00.253
【実行結果=OK】【操作(api)】【/internal/v1/product-control-department/get-list】:開始時間=2021-10-28 21:46:00.253;終了時間=2021-10-28 21:46:00.254
【実行結果=OK】【操作(api)】【/internal/v1/brand/get-list】:開始時間=2021-10-28 21:46:00.254;終了時間=2021-10-28 21:46:00.254
【実行結果=OK】【操作(api)】【/internal/v1/ginner-info/get-list】:開始時間=2021-10-28 21:46:00.254;終了時間=2021-10-28 21:46:00.254
【実行結果=OK】【操作(api)】【/internal/v1/type-code/get-list】:開始時間=2021-10-28 21:46:00.254;終了時間=2021-10-28 21:46:00.255
【実行結果=OK】【操作(api)】【/internal/v1/product-classification/get-list】:開始時間=2021-10-28 21:46:00.255;終了時間=2021-10-28 21:46:00.255
【実行結果=OK】【操作(api)】【登录】:開始時間=2021-10-28 21:46:00.255;終了時間=2021-10-28 21:46:00.490
