ケース番号=No.008;実施開始時間=2021-09-30 16:13:02.765;実施終了時間=2021-09-30 16:13:02.910;実施結果=OK.
======以下はアクション毎の確認ログ。======
【実行結果=OK】【操作(DB準備)】【テーブル：c_screen_field_display,DB状態：7】:開始時間=2021-09-30 16:13:02.769;終了時間=2021-09-30 16:13:02.878
【実行結果=OK】【操作(DB準備)】【テーブル：idempotent_requests,DB状態：1】:開始時間=2021-09-30 16:13:02.878;終了時間=2021-09-30 16:13:02.888
【実行結果=OK】【操作(api)】【/v1/gw-stop-shipment/search】:開始時間=2021-09-30 16:13:02.888;終了時間=2021-09-30 16:13:02.890
【実行結果=OK】【操作(api)】【/internal/v1/product-classification/get-list】:開始時間=2021-09-30 16:13:02.890;終了時間=2021-09-30 16:13:02.890
【実行結果=OK】【操作(api)】【/internal/v1/plant/get-list】:開始時間=2021-09-30 16:13:02.890;終了時間=2021-09-30 16:13:02.890
【実行結果=OK】【操作(api)】【/internal/v1/supplier/get-list】:開始時間=2021-09-30 16:13:02.890;終了時間=2021-09-30 16:13:02.890
【実行結果=OK】【操作(api)】【/internal/v1/brand/get-list】:開始時間=2021-09-30 16:13:02.890;終了時間=2021-09-30 16:13:02.891
【実行結果=OK】【操作(api)】【/internal/v1/reason-type/get-list】:開始時間=2021-09-30 16:13:02.891;終了時間=2021-09-30 16:13:02.891
【実行結果=OK】【操作(api)】【/internal/v1/slip-type/get-list】:開始時間=2021-09-30 16:13:02.891;終了時間=2021-09-30 16:13:02.891
【実行結果=OK】【操作(api)】【/internal/v1/code/search】:開始時間=2021-09-30 16:13:02.891;終了時間=2021-09-30 16:13:02.892
【実行結果=OK】【操作(api)】【登录】:開始時間=2021-09-30 16:13:02.892;終了時間=2021-09-30 16:13:02.909
